UIN;Latitude;Longitude;Power
292;52.543095;13.4174511;11
106;52.51715;13.30424;11
161;52.5091848;13.2829236;11
54;52.513074;13.321803;11
374;52.533331;13.196889;11
285;52.44029;13.31591;11
89;52.50380333;13.38029807;11
122;52.48375;13.296678;11
227;52.5460824;13.3689714;11
166;52.46766;13.36712;11
316;52.524128;13.448454;11
365;52.5193695;13.4794804;11
359;52.53859294;13.21479857;11
210;52.50812;13.41482;11
171;52.47503465;13.3855377;11
361;52.54894;13.45563;11
50;52.493249;13.315086;11
94;52.48766;13.30269;11
236;52.451502;13.3143983;11
192;52.5281;13.39129;11
172;52.515556;13.395833;11
33;52.494508;13.3236339;11
118;52.470125;13.3401;11
279;52.47485741;13.4279202;11
52;52.50932541;13.36273449;11
188;52.500008;13.407592;11
176;52.50640684;13.27810943;11
2;52.501225;13.343711;11
55;52.513661;13.322778;11
123;52.5152901;13.3843899;11
190;52.4776234;13.28243019;11
121;52.49504765;13.29035721;11
260;52.55465;13.36113;11
333;52.5005593;13.4663835;11
226;52.49039;13.41946;11
47;52.49130014;13.36126584;11
19;52.5032609;13.35292011;11
191;52.508782;13.272761;11
144;52.46713604;13.32743519;11
99;52.4898914;13.3804705;11
420;52.457084;13.527964;11
21;52.505217;13.327709;11
107;52.510481;13.296954;11
259;52.53274964;13.41358185;11
428;52.42446105;13.5132967;11
310;52.5153929;13.4508009;11
73;52.5077436;13.3738429;11
139;52.5140536;13.3900454;11
324;52.55069;13.42918;11
295;52.53558894;13.43192984;11
317;52.5335881;13.4424319;11
197;52.48862903;13.40750733;11
214;52.53634;13.39042;11
262;52.5026611;13.4326265;11
247;52.535886;13.273956;11
16;52.50692424;13.3454388;11
69;52.48147577;13.35624503;11
182;52.46451839;13.36711913;11
265;52.44715;13.30689;11
206;52.519446;13.272981;11
304;52.56807;13.32892;11
299;52.50789;13.449568;11
125;52.509467;13.389543;11
375;52.53309;13.19564;11
174;52.52984944;13.37697664;11
334;52.528476;13.457533;11
177;52.5134;13.28085;11
103;52.495127;13.383722;11
97;52.51085188;13.37907167;11
159;52.49445;13.39816;11
352;52.5017023;13.47741288;11
169;52.51237757;13.39660192;11
348;52.575964;13.297672;11
300;52.5113609;13.44951032;11
229;52.517707;13.417261;11
128;52.525956;13.370633;11
109;52.51216412;13.38228;11
193;52.51137774;13.40647356;11
200;52.510383;13.409065;11
187;52.50709058;13.27389162;11
28;52.507687;13.328402;11
140;52.527443;13.371917;11
216;52.5136513;13.4154654;11
80;52.4991561;13.30176461;11
267;52.4784414;13.4267559;11
315;52.469957;13.443486;11
329;52.473197;13.45711;11
95;52.50511;13.38192;11
115;52.471708;13.328003;11
23;52.4929797;13.3301105;11
129;52.48424378;13.29410613;11
150;52.50689;13.28492;11
130;52.4839563;13.38569283;11
110;52.47544175;13.36397051;11
96;52.5122297;13.3777476;11
26;52.497882;13.3241077;11
11;52.5000381;13.3491778;11
303;52.549527;13.4169281;11
56;52.5174137;13.34355854;11
70;52.5104772;13.3099575;11
18;52.50481112;13.32912154;11
64;52.50305872;13.37303593;11
203;52.52084557;13.4039382;11
357;52.422128;13.393714;11
133;52.5326199;13.3410127;11
76;52.5121;13.309261;11
322;52.558692;13.412595;11
104;52.5260217;13.3271568;11
45;52.51078419;13.3230577;11
239;52.4556972;13.3826832;11
221;52.459663;13.384968;11
27;52.5057193;13.3538838;11
323;52.542172;13.439037;11
31;52.49961484;13.3217891;11
296;52.44014;13.386994;11
271;52.50071;13.43622;11
186;52.5000201;13.27297;11
331;52.49842;13.46552;11
223;52.508433;13.260589;11
78;52.48115545;13.31847636;11
306;52.50610733;13.22785378;11
278;52.53844;13.413558;11
15;52.5065192;13.3463293;11
160;52.51576062;13.39304609;11
7;52.496774;13.344862;11
90;52.50383665;13.38032539;11
83;52.508248;13.376504;11
198;52.5330221;13.3844877;11
370;52.534848;13.201873;11
74;52.50872703;13.37321526;11
351;52.5121;13.47506;11
38;52.506539;13.322375;11
257;52.52387;13.42224;11
218;52.45169;13.33775;11
