UIN;Latitude;Longitude;Power
195;52.538528;13.368139;11
434;52.42765484;13.51950429;11
142;52.466822;13.330553;11
105;52.4726;13.335167;11
82;52.49799015;13.37878331;11
154;52.4715;13.30755;11
59;52.48316359;13.35129887;11
371;52.54010032;13.20476174;11
256;52.511184;13.429185;11
113;52.47156557;13.3334188;11
138;52.49967503;13.39502178;11
255;52.4845687;13.4274215;11
185;52.463985;13.369857;11
224;52.53470369;13.39708172;11
231;52.52357799;13.4132835;11
401;52.54761;13.18358;11
289;52.468372;13.4299043;11
269;52.477649;13.427361;11
219;52.534398;13.395824;11
25;52.507832;13.349137;11
137;52.491583;13.392549;11
132;52.511173;13.389563;11
180;52.527554;13.385167;11
342;52.421429;13.358406;11
22;52.505308;13.327739;11
339;52.5072563;13.4672017;11
155;52.51597225;13.28857321;11
209;52.5188675;13.40899787;11
379;52.53519;13.4867;11
40;52.49468;13.36025;11
298;52.4890071;13.44820113;11
156;52.4693386;13.3686923;11
20;52.50415449;13.35308251;11
67;52.48209944;13.35733937;11
98;52.52379219;13.32068037;11
319;52.485987;13.458142;11
10;52.505073;13.343569;11
114;52.4713807;13.3360661;11
29;52.509837;13.346194;11
399;52.533653;13.174442;11
120;52.525918;13.314292;11
291;52.5100015;13.4434876;11
234;52.4939999;13.4229311;11
189;52.50069;13.40796;11
66;52.48243353;13.35768467;11
287;52.520102;13.437725;11
178;52.4685827;13.37679035;11
152;52.515846;13.389922;11
325;52.572571;13.366279;11
141;52.51303335;13.28900775;11
8;52.504565;13.340573;11
60;52.5001356;13.37064025;11
34;52.48877066;13.34367667;11
116;52.5160186;13.3802426;11
165;52.464609;13.327509;11
63;52.48132;13.32972;11
77;52.503325;13.3035333;11
258;52.51106644;13.42929077;11
356;52.514709;13.476614;11
326;52.47404;13.45463;11
71;52.4806822;13.35405635;11
394;52.50879;13.50693;11
343;52.526615;13.216901;11
127;52.468986;13.328669;11
290;52.43911192;13.36843043;11
4;52.501585;13.335301;11
147;52.5065;13.39463;11
349;52.52834008;13.21669147;11
112;52.51248012;13.3824777;11
44;52.5057723;13.3175068;11
79;52.510428;13.373844;11
100;52.50395005;13.38336719;11
163;52.469452;13.371279;11
268;52.5494995;13.3872381;11
48;52.5147357;13.3308951;11
248;52.49802723;13.42938198;11
238;52.45798051;13.29168677;11
136;52.518917;13.295717;11
308;52.494839;13.452556;11
24;52.5027399;13.32539678;11
422;52.4412651;13.5217605;11
318;52.46495;13.44244;11
135;52.468003;13.328419;11
293;52.5636052;13.3295062;11
249;52.53664;13.40664;11
362;52.502977;13.481084;11
302;52.5537873;13.4083633;11
46;52.48717;13.35442;11
93;52.510106;13.378046;11
175;52.5295513;13.3784649;11
345;52.455367;13.4481;11
228;52.51998;13.41475;11
196;52.5044288;13.4096489;11
202;52.4575905;13.3203174;11
68;52.50146667;13.30567274;11
12;52.50254155;13.33164417;11
162;52.51897;13.390248;11
360;52.56785828;13.42603668;11
312;52.477748;13.447891;11
332;52.52746964;13.45799446;11
117;52.49699;13.38875;11
282;52.52569;13.42869;11
378;52.50536485;13.49601565;11
199;52.51926695;13.40309821;11
51;52.50277;13.31306;11
353;52.538151;13.217505;11
335;52.47289002;13.45850159;11
207;52.49350476;13.4136114;11
88;52.50452;13.38009;11
